chunk_id,source_id,record_type,word_count,page_start,page_end,section,rule,clause,heading,warning,audit_flags,severity,groups,text_excerpt
MSCS_ACT_2002_SEC_17_SUB_1,MSCS_ACT_2002,child,74,16,16,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(1) A multi-state cooperative society may, by a resolution passed by a

majority of not less than two-thirds of the members, present and voting at a general meeting of the society held for the purpose"
MSCS_ACT_2002_SEC_17_SUB_2,MSCS_ACT_2002,child,44,16,16,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(2) Any two or more multi-state cooperative societies may, by a

resolution passed by a majority of not less than two-thirds of the members present and voting at a general meeting of each such society"
MSCS_ACT_2002_SEC_17_SUB_3,MSCS_ACT_2002,child,31,16,16,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(3) The resolution of a multi-state cooperative society under sub-

section (1) or sub-section (2) shall contain all particulars of the transfer or division or amalgamation, as the case may be."
MSCS_ACT_2002_SEC_17_SUB_4,MSCS_ACT_2002,child,77,16,16,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(4) When a multi-state cooperative society has passed a resolution

under sub-section (1) or sub-section (2), it shall give notice thereof in writing to all the members and creditors, and, notwithstan"
MSCS_ACT_2002_SEC_17_SUB_5,MSCS_ACT_2002,child,31,17,17,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(5) Any member or creditor who does not exercise his option within the

period specified in sub-section (4) shall be deemed to have assented to the proposals contained in the resolution."
MSCS_ACT_2002_SEC_17_SUB_6,MSCS_ACT_2002,child,63,17,17,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(6) (a) A resolution passed by a multi-state cooperative society under

this section shall not take effect until the assent thereto of all the members and creditors has been obtained.

(b) The multi-s"
MSCS_ACT_2002_SEC_17_SUB_7,MSCS_ACT_2002,child,88,17,17,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(7) On receipt of an application for the registration of new societies

formed by division in accordance with the resolution passed under sub-section (1) or of a new society formed by amalgamation in "
MSCS_ACT_2002_SEC_17_SUB_8,MSCS_ACT_2002,child,36,17,17,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(8) On the issue of an order under sub-section (7), the provisions of

section 21 shall, so far as may be, apply to the multi-state cooperative society so divided or the multi-state cooperative societ"
MSCS_ACT_2002_SEC_17_SUB_9,MSCS_ACT_2002,child,54,17,17,17,,,"Amalgamation or transfer of assets and liabilities, or division of",,,INFO,,"(9) Where a resolution passed by a multi-state cooperative society

under this section involves the transfer of any assets and liabilities, the resolution shall, notwithstanding anything contained in "
MSCS_ACT_2002_SEC_18,MSCS_ACT_2002,child,94,17,17,18,,,Central Registrar to prepare scheme of amalgamation or,,,INFO,,"18. Central Registrar to prepare scheme of amalgamation or reorganisation of a cooperative bank in certain cases

When an order of moratorium has been made by the Central Government under sub-section "
MSCS_ACT_2002_SEC_19,MSCS_ACT_2002,child,235,18,18,19,,,Promotion of subsidiary institution,,,INFO,,"19. Promotion of subsidiary institution

(1) Any multi-state cooperative society may, by a resolution passed at

general meeting by a majority of members present and voting, promote one or more subsid"
MSCS_ACT_2002_SEC_20,MSCS_ACT_2002,child,144,18,19,20,,,Liability of a cooperative bank to deposit insurance and credit,,,INFO,,"20. Liability of a cooperative bank to deposit insurance and credit guarantee corporation

Notwithstanding anything contained in section 17 or any other provision of this Act, where a cooperative bank"
MSCS_ACT_2002_SEC_21,MSCS_ACT_2002,child,292,19,19,21,,,Cancellation of registration certificate of multi-state cooperative,,,INFO,,"21. Cancellation of registration certificate of multi-state cooperative societies in certain cases

(1) Where the whole of the assets and liabilities of a multi-state

cooperative society are transfer"
MSCS_ACT_2002_SEC_22,MSCS_ACT_2002,child,392,19,20,22,,,Conversion of a cooperative society into a multi-state cooperative,,,INFO,,"22. Conversion of a cooperative society into a multi-state cooperative society

(1) A cooperative society may, by an amendment of its bye-laws,

extend its jurisdiction and convert itself into a multi"
MSCS_ACT_2002_SEC_23,MSCS_ACT_2002,child,88,21,21,23,,,Registration of federal cooperative,,,INFO,,"Chapter III

Registration and Functions of Federal Cooperatives 23. Registration of federal cooperative

(1) Every federal cooperative shall obtain registration certification in

accordance with the p"
MSCS_ACT_2002_SEC_24,MSCS_ACT_2002,child,219,21,21,24,,,Functions of federal cooperative,,,INFO,,"24. Functions of federal cooperative

(1) Subject to the provisions of this Act and any other law for the time

being in force, a federal cooperative may discharge the functions to facilitate the volu"
MSCS_ACT_2002_SEC_25,MSCS_ACT_2002,child,335,22,22,25,,,Persons who may become members,,,INFO,,"Chapter IV

Members of Multi-state Cooperative Societies and their duties,

rights and liabilities

25. Persons who may become members

(1) No person shall be admitted as a member of a multi-state

co"
MSCS_ACT_2002_SEC_26,MSCS_ACT_2002,child,69,23,23,26,,,Nominal or associate members of society,,,INFO,,"26. Nominal or associate members of society

A multi-state cooperative society may, if provided in its bye-laws, admit a person as nominal or associate member:

Provided that no such nominal or associ"
MSCS_ACT_2002_SEC_27,MSCS_ACT_2002,child,34,23,23,27,,,Educational course for members,,,INFO,,"27. Educational course for members

(1) Every multi-state cooperative society shall organise cooperative

education programmes for its members, directors and employees.

(2) Every multi-state cooperat"
MSCS_ACT_2002_SEC_28,MSCS_ACT_2002,child,52,23,23,28,,,Members not to exercise rights till due payment made,,,INFO,,"28. Members not to exercise rights till due payment made

No member of a multi-state cooperative society shall exercise the rights of a member, unless he has made the payment to the society in respect"
MSCS_ACT_2002_SEC_29,MSCS_ACT_2002,child,113,23,23,29,,,Disqualification for member of a multi-state cooperative society,,,INFO,,"29. Disqualification for member of a multi-state cooperative society No person shall be eligible for being a member of a multi-state cooperative society if-

(a) his business is in conflict or competi"
MSCS_ACT_2002_SEC_30,MSCS_ACT_2002,child,113,23,24,30,,,Expulsion of members,,,INFO,,"30. Expulsion of members

(1) A multi-state cooperative society may, by resolution passed by a

majority of not less than two-thirds of the members present and voting at a general meeting of members h"
MSCS_ACT_2002_SEC_31,MSCS_ACT_2002,child,204,24,24,31,,,Vote of members,,,INFO,,"31. Vote of members

Every member of a multi-state cooperative society, including a member who is an employee of such society, shall have one vote in the affairs of the society:

Provided that-

(a) a"
MSCS_ACT_2002_SEC_32,MSCS_ACT_2002,child,82,24,24,32,,,Manner of Exercising Vote,,,INFO,,"32. Manner of Exercising Vote

Every member of a multi-state cooperative society shall exercise his vote in person and no member shall be permitted to vote by proxy:

Provided that a multi-state coope"
MSCS_ACT_2002_SEC_33,MSCS_ACT_2002,child,68,25,25,33,,,Restriction on holding of shares,,,INFO,,"33. Restriction on holding of shares

No member, other than the authorities referred to in clauses (c) to (g) of sub-section (1) of section 25 of a multi-state cooperative society or a cooperative soc"
MSCS_ACT_2002_SEC_34,MSCS_ACT_2002,child,40,25,25,34,,,Restriction on transfer of shares or interest,,,INFO,,"34. Restriction on transfer of shares or interest

The transfer of share or interest of a member in the capital of a multi-state cooperative society shall be subject to such conditions as to maximum h"
MSCS_ACT_2002_SEC_35,MSCS_ACT_2002,child,93,25,25,35,,,Redemption of shares,,,INFO,,"35. Redemption of shares

(1) Shares held in a multi-state cooperative society by any of the

authorities referred to in clauses (c) to (g) of sub-section (1) of section 25 shall be redeemable in acco"
MSCS_ACT_2002_SEC_36,MSCS_ACT_2002,child,210,25,26,36,,,Transfer of interest on death of members,,,INFO,,"36. Transfer of interest on death of members

(1) On the death of a member, a multi-state cooperative society may

transfer the share or interest of the deceased member to the person nominated in acco"
MSCS_ACT_2002_SEC_37,MSCS_ACT_2002,child,184,26,26,37,,,Liabilities of past member and estate of deceased member,,,INFO,,"37. Liabilities of past member and estate of deceased member

(1) Subject to the provisions of sub-section (2), the liability of a past

member or of the estate of a deceased member of a multi-state c"
MSCS_ACT_2002_SEC_38,MSCS_ACT_2002,child,322,26,27,38,,,"Constitution, powers and functions of general body",,,INFO,,"Chapter V

Direction and Management of Multi-State Cooperative Societies 38. Constitution, powers and functions of general body

(1) The general body of a multi-state cooperative society shall consist"
MSCS_ACT_2002_SEC_39,MSCS_ACT_2002,child,334,27,28,39,,,Annual general meeting of general body,,,INFO,,"39. Annual general meeting of general body

(1) The board of every multi-state cooperative society shall, within such

period as may be prescribed, and not later than six months after the close of the"
MSCS_ACT_2002_SEC_40,MSCS_ACT_2002,child,191,28,28,40,,,Special general meeting of general body,,,INFO,,"40. Special general meeting of general body

(1) The Chief Executive may, at any time, on the direction of the board,

call a special general meeting of the society and shall call such meeting within "
MSCS_ACT_2002_SEC_41,MSCS_ACT_2002,child,150,28,29,41,,,Board of directors,,,INFO,,"41. Board of directors

(1) Subject to the provisions of this Act and rules, there shall be a

board of directors for every multi-state cooperative society consisting of such number of members as spec"
MSCS_ACT_2002_SEC_42,MSCS_ACT_2002,child,70,29,29,42,,,Association of employees in management decision making process,,,INFO,,"42. Association of employees in management decision making process Every multi-state cooperative society shall devise such procedure, as may be specified in the bye-laws or in the administrative instr"
MSCS_ACT_2002_SEC_43,MSCS_ACT_2002,parent,667,29,31,43,,,Disqualifications for being a member of board,,,INFO,,"43. Disqualifications for being a member of board

(1) No member of any multi-state cooperative society or nominee of a

member, society or a national cooperative society shall be eligible for being c"
MSCS_ACT_2002_SEC_43_SUB_1,MSCS_ACT_2002,child,588,29,30,43,,,Disqualifications for being a member of board,,,INFO,,"(1) No member of any multi-state cooperative society or nominee of a

member, society or a national cooperative society shall be eligible for being chosen as, or for being, a member of the board of su"
MSCS_ACT_2002_SEC_43_SUB_2,MSCS_ACT_2002,child,71,30,31,43,,,Disqualifications for being a member of board,,,INFO,,"(2) A person shall not be eligible for being elected as member of board

of a multi-state cooperative society for a period of five years if the board of such multi-state cooperative society fails-

(a"
MSCS_ACT_2002_SEC_44,MSCS_ACT_2002,child,174,31,31,44,,,Prohibition to hold office of chairperson or president or vice,,,INFO,,"44. Prohibition to hold office of chairperson or president or vice-chairperson or vice president in certain cases

(1) No member of a board shall be eligible to be elected as the

chairperson or presi"
MSCS_ACT_2002_SEC_45,MSCS_ACT_2002,child,267,31,32,45,,,Elections of members of board,,,INFO,,"45. Elections of members of board

(1) The conduct of elections to the board of a multi-state cooperative

society shall be the responsibility of the existing board.

(2) The election of members of bo"
MSCS_ACT_2002_SEC_46,MSCS_ACT_2002,child,44,32,32,46,,,Holding of office in cooperative society,,,INFO,,"46. Holding of office in cooperative society Notwithstanding anything contained in this Act, no person shall be eligible to hold, at the same time, office of a president or chairperson or vice-preside"
MSCS_ACT_2002_SEC_47,MSCS_ACT_2002,child,95,32,32,47,,,Removal of elected members by general body,,,INFO,,"47. Removal of elected members by general body

An elected member of a board, who has acted adversely to the interests of multi-state cooperative society, may on the basis of a report of the Central R"
MSCS_ACT_2002_SEC_48,MSCS_ACT_2002,child,346,32,33,48,,,Nominee of Central Government or State Government on the board,,,INFO,,"48. Nominee of Central Government or State Government on the board

(1) Where the Central Government or a State Government has

subscribed to the share capital of a multi-state cooperative society, th"
MSCS_ACT_2002_SEC_49,MSCS_ACT_2002,child,236,33,34,49,,,Powers and functions of board,,,INFO,,"49. Powers and functions of board

(1) The board may exercise all such powers as may be necessary or

expedient for the purpose of carrying out its functions under this Act.

(2) Without prejudice to "
MSCS_ACT_2002_SEC_50,MSCS_ACT_2002,child,124,34,34,50,,,Meeting of board,,,INFO,,"50. Meeting of board

(1) The Chief Executive shall convene the meetings of the board at the

instance of the chairperson or president of the multi-state cooperative society.

(2) The total number of "
MSCS_ACT_2002_SEC_51,MSCS_ACT_2002,child,130,34,34,51,,,Chief Executive,,,INFO,,"51. Chief Executive

(1) There shall be a Chief Executive, by whatever designation called, of

every multi-state cooperative society to be appointed by the board and he shall be a full-time employee o"
MSCS_ACT_2002_SEC_52,MSCS_ACT_2002,child,264,35,35,52,,,Powers and functions of Chief Executive,,,INFO,,"52. Powers and functions of Chief Executive The Chief Executive shall under the general superintendence, direction and control of the board, exercise the powers and discharge the functions specified b"
MSCS_ACT_2002_SEC_53,MSCS_ACT_2002,child,78,35,35,53,,,Committees of board,,,INFO,,"53. Committees of board

(1) The board may, subject to such conditions as may be prescribed,

constitute an Executive Committee and other committees or sub-committees as may be considered necessary:

"
MSCS_ACT_2002_SEC_54,MSCS_ACT_2002,child,230,36,36,54,,,"Securing possession of records, etc",,,INFO,,"54. Securing possession of records, etc

(1) if-

(a) the records, including registers and books of account of a multi-

state cooperative society are likely to be tampered with or destroyed or the fu"
MSCS_ACT_2002_SEC_55,MSCS_ACT_2002,child,122,36,36,55,,,Charge and set-off in respect of share or contribution or interest of,,,INFO,,"Chapter VI

Privileges of Multi-State Cooperative Societies 55. Charge and set-off in respect of share or contribution or interest of members

A multi-state cooperative society shall have a charge on "
MSCS_ACT_2002_SEC_56,MSCS_ACT_2002,child,157,37,37,56,,,Share of contribution or interest not liable to attachment,,,INFO,,"56. Share of contribution or interest not liable to attachment

(1) Subject to the provisions of section 55, the share or contribution or

interest of a member or past or deceased member in the capita"
MSCS_ACT_2002_SEC_57,MSCS_ACT_2002,child,62,37,37,57,,,Register of members,,,INFO,,"57. Register of members Any register or list of members or shares kept by any multi-state cooperative society shall be prima facie evidence of any of the following particulars entered therein, namely:"
MSCS_ACT_2002_SEC_58,MSCS_ACT_2002,child,180,37,37,58,,,Admissibility of copy of entry as evidence,,,INFO,,"58. Admissibility of copy of entry as evidence

(1) A copy of any entry in a book of a multi-state cooperative society

regularly kept in the course of its business shall, if certified in such manner "
MSCS_ACT_2002_SEC_59,MSCS_ACT_2002,child,150,37,38,59,,,Exemption from compulsory registration of instruments,,,INFO,,"59. Exemption from compulsory registration of instruments

Nothing in clauses (b) and (c) of sub-section (1) of section 17 of the Registration Act, 1908 (16 of 1908) shall apply to-

(a) any instrumen"
MSCS_ACT_2002_SEC_60,MSCS_ACT_2002,child,333,38,38,60,,,Deduction from salary to meet multi-state cooperative society’s,,,INFO,,"60. Deduction from salary to meet multi-state cooperative society’s claim in certain cases

(1) Notwithstanding anything contained in any law for the time being in

force, a member of a multi-state co"
MSCS_ACT_2002_SEC_61,MSCS_ACT_2002,child,167,39,39,61,,,Government aid to multi-state cooperative societies,,,INFO,,"61. Government aid to multi-state cooperative societies

Notwithstanding anything contained in any law for the time being in force, the Central Government or a State Government, on receipt of request "
