chunk_id,source_id,record_type,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MSCS_ACT_2002_SEC_77_SUB_6,MSCS_ACT_2002,child,act,Central,123,726,48,49,77,6,,,,Power of Central Government to direct special audit in certain,meetings;membership;multistate,
MSCS_ACT_2002_SEC_77_SUB_7,MSCS_ACT_2002,child,act,Central,59,382,49,49,77,7,,,,Power of Central Government to direct special audit in certain,multistate,
MSCS_ACT_2002_SEC_78,MSCS_ACT_2002,child,act,Central,427,2520,49,50,78,,,,,Inquiry by Central Registrar,byelaws;documents;meetings;membership;multistate;registrar,
MSCS_ACT_2002_SEC_79,MSCS_ACT_2002,child,act,Central,296,1810,50,51,79,,,,,Inspection of multi-state cooperative societies,meetings;membership;multistate;registrar,
MSCS_ACT_2002_SEC_80,MSCS_ACT_2002,child,act,Central,125,778,51,51,80,,,,,Inspection of books of indebted multi-state cooperative societies,deposits;multistate;registrar,
MSCS_ACT_2002_SEC_81,MSCS_ACT_2002,child,act,Central,125,736,51,51,81,,,,,Costs of inquiry and inspection,membership;multistate;registrar,
MSCS_ACT_2002_SEC_82,MSCS_ACT_2002,child,act,Central,60,346,51,51,82,,,,,Recovery of costs,,
MSCS_ACT_2002_SEC_83,MSCS_ACT_2002,child,act,Central,316,1761,52,52,83,,,,,"Repayment, etc",byelaws;management;multistate;registrar,
MSCS_ACT_2002_SEC_84,MSCS_ACT_2002,parent,act,Central,496,3159,52,53,84,,,,,Reference of disputes,claim;elections;management;membership;multistate;registrar,
MSCS_ACT_2002_SEC_84_SUB_1,MSCS_ACT_2002,child,act,Central,219,1479,52,53,84,1,,,,Reference of disputes,management;membership;multistate,
MSCS_ACT_2002_SEC_84_SUB_2,MSCS_ACT_2002,child,act,Central,139,819,53,53,84,2,,,,Reference of disputes,claim;elections;management;membership;multistate,
MSCS_ACT_2002_SEC_84_SUB_3,MSCS_ACT_2002,child,act,Central,50,303,53,53,84,3,,,,Reference of disputes,management;multistate,
MSCS_ACT_2002_SEC_84_SUB_4,MSCS_ACT_2002,child,act,Central,29,173,53,53,84,4,,,,Reference of disputes,registrar,
MSCS_ACT_2002_SEC_84_SUB_5,MSCS_ACT_2002,child,act,Central,50,314,53,53,84,5,,,,Reference of disputes,,
MSCS_ACT_2002_SEC_85,MSCS_ACT_2002,child,act,Central,268,1540,54,54,85,,,,,Limitation,elections;membership;multistate,
MSCS_ACT_2002_SEC_86,MSCS_ACT_2002,child,act,Central,340,2065,54,55,86,,,,,Winding up of multi-state cooperative societies,meetings;membership;multistate;registrar;registration,
MSCS_ACT_2002_SEC_87,MSCS_ACT_2002,child,act,Central,64,389,55,55,87,,,,,Winding up of cooperative bank at the direction of Reserve Bank,deposits;registrar,
MSCS_ACT_2002_SEC_88,MSCS_ACT_2002,child,act,Central,88,543,55,55,88,,,,,Reimbursement to the Deposit Insurance Corporation by liquidator,deposits,
MSCS_ACT_2002_SEC_89,MSCS_ACT_2002,child,act,Central,228,1385,55,56,89,,,,,Liquidator,appeal;claim;multistate;registrar,
MSCS_ACT_2002_SEC_90,MSCS_ACT_2002,parent,act,Central,602,3575,56,57,90,,,,,Powers of liquidator,claim;deposits;membership;multistate;registrar,
MSCS_ACT_2002_SEC_90_SUB_1,MSCS_ACT_2002,child,act,Central,63,349,56,56,90,1,,,,Powers of liquidator,multistate,
MSCS_ACT_2002_SEC_90_SUB_2,MSCS_ACT_2002,child,act,Central,496,2968,56,57,90,2,,,,Powers of liquidator,claim;membership;multistate;registrar,
MSCS_ACT_2002_SEC_90_SUB_3,MSCS_ACT_2002,child,act,Central,39,228,57,57,90,3,,,,Powers of liquidator,deposits;multistate;registrar,
MSCS_ACT_2002_SEC_91,MSCS_ACT_2002,child,act,Central,95,579,58,58,91,,,,,Disposal of surplus assets,byelaws;membership;multistate;registrar,
MSCS_ACT_2002_SEC_92,MSCS_ACT_2002,child,act,Central,50,331,58,58,92,,,,,Priority of contributions assessed by liquidator,,
MSCS_ACT_2002_SEC_93,MSCS_ACT_2002,child,act,Central,98,617,58,58,93,,,,,Power of Central Registrar to cancel registration of a multi-state,membership;multistate;registrar;registration,
MSCS_ACT_2002_SEC_94,MSCS_ACT_2002,child,act,Central,293,1600,58,59,94,,,,,"Execution of decisions, etc",multistate;registrar,
MSCS_ACT_2002_SEC_95,MSCS_ACT_2002,child,act,Central,36,203,59,59,95,,,,,Execution of orders of liquidators,,
MSCS_ACT_2002_SEC_96,MSCS_ACT_2002,child,act,Central,125,720,59,59,96,,,,,Attachment before award,,
MSCS_ACT_2002_SEC_97,MSCS_ACT_2002,child,act,Central,96,540,60,60,97,,,,,Central Registrar or arbitrator or person authorised to be civil court,registrar,
MSCS_ACT_2002_SCHEDULE_099,MSCS_ACT_2002,child,act,Central,187,1089,60,60,,,,,,"Schedule to the Limitation Act, 1963 (36 of 1963).",membership;multistate;registrar,
MSCS_ACT_2002_SEC_99,MSCS_ACT_2002,child,act,Central,307,1874,60,61,99,,,,,Appeals,appeal;byelaws;membership;multistate;registrar;timeline,
MSCS_ACT_2002_SEC_100,MSCS_ACT_2002,child,act,Central,78,454,61,61,100,,,,,No appeal in certain cases,appeal,
MSCS_ACT_2002_SEC_101,MSCS_ACT_2002,child,act,Central,179,1034,61,62,101,,,,,Review,timeline,
MSCS_ACT_2002_SEC_102,MSCS_ACT_2002,child,act,Central,46,278,62,62,102,,,,,Interlocutory orders,appeal,
MSCS_ACT_2002_SEC_103,MSCS_ACT_2002,parent,act,Central,578,3648,62,63,103,,,,,Cooperative societies functioning immediately before,byelaws;meetings;membership;multistate;registrar,
MSCS_ACT_2002_SEC_103_SUB_1,MSCS_ACT_2002,child,act,Central,106,641,62,62,103,1,,,,Cooperative societies functioning immediately before,byelaws;multistate,
MSCS_ACT_2002_SEC_103_SUB_2,MSCS_ACT_2002,child,act,Central,169,1052,62,63,103,2,,,,Cooperative societies functioning immediately before,meetings;multistate;registrar,
MSCS_ACT_2002_SEC_103_SUB_3,MSCS_ACT_2002,child,act,Central,88,540,63,63,103,3,,,,Cooperative societies functioning immediately before,byelaws;meetings;membership;registrar,
MSCS_ACT_2002_SEC_103_SUB_4,MSCS_ACT_2002,child,act,Central,110,665,63,63,103,4,,,,Cooperative societies functioning immediately before,multistate;registrar,
MSCS_ACT_2002_SEC_103_SUB_5,MSCS_ACT_2002,child,act,Central,83,547,63,63,103,5,,,,Cooperative societies functioning immediately before,meetings;membership;multistate,
MSCS_ACT_2002_SEC_104,MSCS_ACT_2002,parent,act,Central,574,3348,64,65,104,,,,,Offences and penalties,documents;elections;membership;multistate;timeline,
MSCS_ACT_2002_SEC_104_SUB_1,MSCS_ACT_2002,child,act,Central,88,548,64,64,104,1,,,,Offences and penalties,membership;multistate,
MSCS_ACT_2002_SEC_104_SUB_2,MSCS_ACT_2002,child,act,Central,72,406,64,64,104,2,,,,Offences and penalties,timeline,
MSCS_ACT_2002_SEC_104_SUB_3,MSCS_ACT_2002,child,act,Central,102,594,64,64,104,3,,,,Offences and penalties,documents;multistate,
